,Name,0,1,2,3,4,5,6,7,cluster
78,막국수,0.084504731,0.2824292,0.117647059,0.000219914,0.309009479,0.008209607,0.040824239,0.002983294,1
79,삼선우동,0.102256062,0.272397562,0.282,0.000321529,0.25803981,0.00069869,0.587161689,0.006026253,3
80,삼선자장면,0.118849793,0.325462356,0.197882353,0.000687799,0.249122275,0.008864629,0.157509504,0.012112172,3
81,삼선짬뽕,0.097925784,0.261671425,0.233117647,0.000408357,0.254893839,0.000951965,0.295500539,0.005698091,3
82,쌀국수,0.047356594,0.141729043,0.091764706,0.000159248,0.156547867,0.003755459,0.031774252,0.004176611,1
83,열무김치국수,0.063719692,0.179026159,0.088235294,0.000386745,0.285066351,0.016244541,0.014534829,0.001789976,1
84,열무냉면,0.077689237,0.2508424,0.122588235,0.000219155,0.298802844,0.02371179,0.064096987,0.004057279,1
85,오일소스스파게티,0.095615021,0.230007459,0.115058824,0.000888375,0.106571564,0.001231441,0.02990184,0.011605012,1
86,올갱이국수,0.083678297,0.287059187,0.065882353,0.000314704,0.366145972,0.016244541,0,0.00447494,1
87,우동(일식),0.062316677,0.190858348,0.078764706,0.000299917,0.226570616,0.002165939,0.024568305,0.004445107,1
88,우동(중식),0.095870787,0.219589989,0.173235294,0.000796997,0.321882464,0.000960699,0.197094926,0.009994033,3
89,울면,0.107755766,0.32970651,0.220352941,0.000279442,0.265395261,0.000436681,0.421566773,0.005519093,3
90,자장면,0.117755766,0.343725082,0.116294118,0.000770456,0.226690047,0.006812227,0.010175326,0.025417661,1
91,짬뽕라면,0.101862803,0.236643774,0.125294118,0.000997194,0.236380095,0.00139738,0.100892705,0.025656325,1
92,치즈라면,0.087965701,0.205777195,0.098823529,0.000872071,0.200322275,0.000786026,0.098036805,0.028042959,1
93,크림소스스파게티,0.123827617,0.189726574,0.128176471,0.001918177,0.097650237,0.008008734,0.119701927,0.076581146,1
94,토마토소스스파게티,0.095,0.239730432,0.143235294,0.000726094,0.142998104,0.013624454,0.046498213,0.016229117,1
95,해물칼국수,0.09288291,0.31869743,0.134117647,0.000174793,0.223229384,0.003327511,0.025249182,0.003878282,1
96,해물크림소스스파게티,0.135654938,0.223705533,0.178764706,0.001887844,0.125469194,0.00730131,0.199430711,0.07377685,3
97,해물토마토소스스파게티,0.086404494,0.224400031,0.164529412,0.000520588,0.145323223,0.011772926,0.150965521,0.009367542,3
98,골뱅이무침,0.016083678,0.040358052,0.041647059,7.46948E-05,0.049812322,0.009135371,0.036266147,0.000775656,0
99,노각무침,0.012418687,0.036782674,0.015294118,6.8249E-05,0.077475829,0.006200873,0,0.000596659,0
100,단무지무침,0.00295683,0.007202202,0.002941176,3.03329E-05,0.040655924,0.000611354,0,0.000298329,0
101,달래나물무침,0.020106446,0.061218715,0.023529412,0.000106165,0.082183886,0.009781659,0,0.000894988,0
102,더덕무침,0.031933767,0.111634128,0.025294118,0.000106165,0.118159242,0.017641921,0.000160763,0.001193317,1
103,도토리묵,0.006741573,0.026699591,0.001705882,1.21332E-05,0.011767773,0.000375546,0,8.94988E-05,0
104,밴댕이무침,0.088706387,0.118321887,0.175294118,0.001251232,0.097367773,0.023580786,0.095994175,0.01372315,2
105,서대회무침,0.046601124,0.118064665,0.132941176,0.000174414,0.11363981,0.019475983,0.064030791,0.001491647,1
106,쑥갓나물무침,0.014192785,0.016976619,0.026470588,0.000216122,0.06729763,0.000262009,4.72831E-05,0.002088305,0
107,우거지나물무침,0.019071555,0.02237827,0.026470588,0.000322287,0.073224645,0.001310044,0.001238818,0.002983294,0
108,쥐치채,0.008267297,0.028011421,0.016176471,5.68742E-06,0.0280891,0.003973799,0.008104325,0.000566826,0
109,청포묵무침,0.022028386,0.058389279,0.017058824,0.000197164,0.068627488,0.001572052,0,0.002386635,0
110,탕평채,0.014414548,0.031535355,0.020882353,0.00014446,0.024682464,0.000340611,0.044673085,0.002177804,0
111,홍어무침,0.029411591,0.066748978,0.105,9.97194E-05,0.076022749,0.012628821,0.053931118,0.001073986,2
112,고추장불고기 삼각김밥,0.024436724,0.087738251,0.021529412,5.99075E-05,0.032504265,0.000183406,0.003319274,0.001342482,0
113,곤드레나물밥,0.077148137,0.254392057,0.060588235,0.000360203,0.008589573,0,0,0.002684964,1
114,국밥,0.061849497,0.150731795,0.162352941,0.000310912,0.218156398,0.000349345,0.045212112,0.008054893,1
115,농어초밥,0.058654642,0.202561926,0.102529412,5.08076E-05,0.098108057,0.011362445,0.02506005,0.001939141,1
116,돼지국밥,0.134742756,0.192144456,0.390588235,0.001463563,0.103941232,0,0.134804153,0.025059666,3
117,류산슬덮밥,0.085007392,0.190215294,0.158588235,0.000721923,0.149701422,0.000366812,0.114302196,0.010113365,1
118,멍게비빔밥,0.080900355,0.233299895,0.097647059,0.000496701,0.108511848,0.014585153,0.020710003,0.007159905,1
119,멸치주먹밥,0.046126552,0.139671271,0.052941176,0.000250246,0.047034123,0.000786026,0.040143362,0.003281623,1
120,묵밥,0.094937907,0.330786841,0.087058824,0.000291954,0.196729858,0.013187773,0.040332495,0.00447494,1
121,문어초밥,0.057987877,0.210355737,0.085941176,2.80579E-05,0.113825592,0.01168559,0.06627201,0.001044153,1
122,비빔밥,0.102250148,0.253877614,0.144705882,0.000834155,0.10612891,0.015982533,0.090235092,0.011634845,1
123,삼선볶음밥,0.101435541,0.220567431,0.154352941,0.001003261,0.115029384,0.001379913,0.308777637,0.018884248,3
124,새우초밥,0.05731372,0.201713095,0.098823529,2.84371E-05,0.105240758,0.010174672,0.068702362,0.001640811,1
125,새우튀김롤,0.089665878,0.247652854,0.085117647,0.000688936,0.1318891,0.009729258,0.05283415,0.010173031,1
126,샐러드김밥,0.060016263,0.158062608,0.056588235,0.000512626,0.086367773,0.0029869,0.079984113,0.008323389,1
127,생선초밥(광어),0.067087522,0.199475268,0.159235294,0.000148631,0.076658768,0.006724891,0.044200253,0.003162291,1
128,생선초밥(모듬),0.068298344,0.196594387,0.149529412,0.000229772,0.091842654,0.007554585,0.067019083,0.004504773,1
129,소고기국밥,0.048866056,0.109576356,0.128235294,0.000307121,0.169318483,0.002445415,0.039575965,0.006861575,2
130,소고기김밥,0.059226789,0.160814878,0.094,0.000365132,0.10058673,0.000733624,0.088031699,0.007547733,1
131,송이덮밥,0.086015671,0.245903748,0.107117647,0.000533101,0.159053081,0.001982533,0.04558092,0.008323389,1
132,숯불갈비 삼각김밥,0.023837966,0.083725596,0.023529412,6.33199E-05,0.033967773,0.000139738,0.003820475,0.001581146,0
133,약초비빔밥,0.075665287,0.206291638,0.07,0.000602866,0.092095735,0.002532751,0,0.007159905,1
134,연어롤,0.075427262,0.191167014,0.109235294,0.000583908,0.114872038,0.00739738,0.058602689,0.008442721,1
135,연어초밥,0.066132466,0.182730149,0.111058824,0.000369303,0.1008891,0.011248908,0.030308475,0.00548926,1
136,오곡밥,0.057483737,0.211744733,0.070294118,4.9291E-05,0.010796209,0.000148472,0,0.001252983,1
137,자장밥,0.109648137,0.308820125,0.089647059,0.000844771,0.147903318,0.004689956,0.024993853,0.025536993,1
138,잡탕밥,0.114937907,0.269928235,0.259529412,0.000763252,0.199954502,0.000419214,0.311926692,0.012142005,3
139,장어덮밥,0.105934358,0.250405124,0.177,0.000871313,0.087276777,0.004882096,0.221814537,0.015453461,3
140,장어초밥,0.071889415,0.207526301,0.097176471,0.000410632,0.120465403,0.011938865,0.097185709,0.008681384,1
