NO,Name,N1,N2,N3,N4,N5,N6,N7,N8
4427,헤이즐넛향 아메리카노커피빈,70,11,0.7,2.5,25,7,0,18
4428,커피빈 아메리카노커피빈,10,1.4,0.5,0,30,0,0,0
4429,아메리치노 흑당라떼 ICE앤젤리너스,245,48,5,0,70,108,0,2.5
4430,아메리치노 흑당 ICE앤젤리너스,159,38,2,0,10,35,0,0
4431,오트밀 라떼 HOT앤젤리너스,169,21,9,0,151,12,0,5
4432,아메리치노 라떼 ICE앤젤리너스,227,30,8,0,135,28,0,5.4
4433,콜드브루 To-Go ICE앤젤리너스,8,0,0,0,5,0,0,0
4434,아메리치노 (Original) ICE앤젤리너스,14,2,2,0,10,0,0,0
4435,콜브브루 더치커피 ICE앤젤리너스,6,1,0,0,15,0,0,0
4436,아메리카노 HOT앤젤리너스,9,1,1,0,5,0,0,0
4437,카푸치노 HOT앤젤리너스,113,9,6,0,101,8,0,4
4438,카페라떼 HOT앤젤리너스,152,12,8,0,137,11,0,5
4439,바닐라 카페라떼 HOT앤젤리너스,207,29,7,0,121,28,0,4
4440,카라멜마끼아또 HOT앤젤리너스,231,31,8,0,137,29,0,5
4441,카페모카 HOT앤젤리너스,334,29,8,0,135,26,0,13
4442,제주 청귤 스노우앤젤리너스,442,109,1,0,55,98,0,0
4443,멜론 스노우앤젤리너스,350,62,11,0,175.8,61,0,4
4444,워터멜론 스노우앤젤리너스,298,70,1,0,37.8,70,0,0.3
4445,오트밀 카라멜 스노우앤젤리너스,374,64,9,0,185,40,0,3.6
4446,오트밀 블루베리 스노우앤젤리너스,371,67,8,0,155,43,0,2.9
4447,코코넛 밀크 스노우 ICE앤젤리너스,499,76,4,0,110,51,0,7.5
4448,한라봉 스노우앤젤리너스,400,90,1,0,10,90,0,0.8
4449,망고 스노우앤젤리너스,353,87,0,0,15,77,0,0.1
4450,요거트 스노우앤젤리너스,403,85,5,0,150,81,0,2.6
4451,딸기 스노우앤젤리너스,340,74,3,0,40,67,0,1.1
4452,블루베리 스노우앤젤리너스,334,68,4,0,90,63,0,2.6
4453,그린티 스노우앤젤리너스,550,85,8,0,180,74,0,10.8
4454,자바 초코렛 칩 스노우앤젤리너스,556,94,7,0,90,39,0,11.3
4455,쿠키&크림 스노우앤젤리너스,668,108,10,0,190,42,0,12.6
4456,루이보스 아몬드 밀크티 HOT앤젤리너스,335,47.6,9.6,0,194.5,48,0,7
4457,얼그레이 밀크티 HOT앤젤리너스,330,46.6,9.6,0,192.1,47,0,7
4458,제주 청귤 에이드 ICE앤젤리너스,184,45,1,0,10,39,0,0
4459,제주 청귤 주스 ICE앤젤리너스,264,65,1,0,5,58,0,0
4460,워터멜론 주스 ICE앤젤리너스,201,46,1.2,0,16.8,46,0,0.3
4461,피치우롱 HOT앤젤리너스,11,2,1,0,0,0,0,0
4462,피치우롱 ICE앤젤리너스,10,2,1,0,0,0,0,0
4463,얼그레이 리저브 HOT앤젤리너스,10,2,1,0,0,0,0,0
4464,얼그레이 리저브 ICE앤젤리너스,10,2,1,0,0,0,0,0
4465,쿨민트 HOT앤젤리너스,9,2,1,0,5,0,0,0
4466,쿨민트 ICE앤젤리너스,9,2,1,0,5,0,0,0
4467,크림슨 펀치 HOT앤젤리너스,23,5,0,0,0,0,0,0
4468,크림슨 펀치 ICE앤젤리너스,23,5,0,0,0,0,0,0
4469,루이보스 빌베리 HOT앤젤리너스,11,2,0,0,5,0,0,0
4470,루이보스 빌베리 ICE앤젤리너스,11,2,0,0,5,0,0,0
4471,로얄 캐모마일 HOT앤젤리너스,9,0,0,0,0,0,0,0
4472,로얄 캐모마일 ICE앤젤리너스,9,0,0,0,0,0,0,0
4473,로즈힙 밀크티 HOT앤젤리너스,490,65,11.4,0,225,52,0,15.7
4474,로즈힙 밀크티 ICE앤젤리너스,409,59,7.7,0,150,46,0,12.9
4475,오리지널 밀크티 HOT앤젤리너스,494,64,11.4,0,215,53,0,16.6
4476,오리지널 밀크티 ICE앤젤리너스,412,58,7.4,0,140,47,0,13.8
4477,유자티 HOT앤젤리너스,260,64,0,0,60,60,0,0
4478,나이트로 그린티 애플 ICE앤젤리너스,109,27,0,0,20,23,0,0
4479,나이트로 히비스커스 라즈베리 ICE앤젤리너스,93,23,0,0,0,19,0,0
4480,한라봉 스파클링 에이드 ICE앤젤리너스,418,100,1,0,15,37,0,0.3
4481,자색고구마라떼 HOT앤젤리너스,246,24,9.9,0,205,22,0,7.3
4482,자색고구마라떼 ICE앤젤리너스,175,18,6.8,0,140,17,0,5
4483,레드자몽스파클링에이드 ICE앤젤리너스,113,27,0.6,0,30,16,0,0
4484,스트로베리 스파클링에이드 ICE앤젤리너스,89,19,1,0,5,16,0,0
4485,레몬티 HOT앤젤리너스,247,62,0.2,0,20,60,0,0.1
4486,아이스티 ICE앤젤리너스,217,54,0.1,0,0,53,0,0
4487,핫초코 HOT앤젤리너스,468,56,12,0,290,48,0,14.3
4488,아이스초코 ICE앤젤리너스,396,50,8.7,0,225,42,0,11.8
4489,그린 밀크티 HOT앤젤리너스,351,48,11.5,0,210,46,0,7.5
4490,그린 밀크티 ICE앤젤리너스,227,42,8.1,0,140,40,0,5
4491,오리지널 카쉬앤젤리너스,744,76,15,0,430,41,0,10
4492,레드벨벳 카쉬앤젤리너스,706,81,14,0,260,50,0,7
4493,코코넛 카쉬앤젤리너스,717,76,15,0,260,41,0,7
4494,초코 카쉬앤젤리너스,698,76,15,0,260,41,0,6
4495,멜론 케이크앤젤리너스,300,36,3,0,107,17,0,12
4496,워터멜론 케이크앤젤리너스,375,38,4,0,188,17,0,13
4497,크림 베리 케이크앤젤리너스,450,45,7,0,140,29,0,17
4498,망고 피치 빙수앤젤리너스,389,96,2,0,75,89,0,1.9
4499,오리지널 팥빙수앤젤리너스,530,110,10,0,210,52,0,4
4500,망고 코코넛칩 빙수앤젤리너스,385,70,5,0,125,35,0,8
4501,밀크 베리 빙수앤젤리너스,380,71,5,0,70,67,0,6
4502,마스카포네 티라미수 케이크앤젤리너스,411,38,5,0,120,22,0,19
4503,프리미엄 머쉬룸 베이컨 샌드위치앤젤리너스,325,25,15,0,390,19,0,5
4504,프리미엄 치킨 샌드위치앤젤리너스,345,24,17,0,890,18,0,6
4505,모짜렐라 치즈 포카치아앤젤리너스,585,45,20,0,910,35,0,6
4506,핑크 베리 토르테앤젤리너스,345,39,5,0,45,25,0,12
4507,크림 치즈 캐롯 케익앤젤리너스,549,53,5,0,160,36,0,15
4508,베리 팬케익앤젤리너스,616.8,74,11.3,0,326.1,54,0,15
4509,스위트 팬케익앤젤리너스,385.5,46.3,11,0,317.4,31,0,7
4510,화이트쇼콜라앤젤리너스,471,33,6,0,105,23,0,22
4511,에그&베이컨 샌드위치앤젤리너스,384,39,12,0,750,9,0,4.7
4512,햄치즈샌드위치앤젤리너스,330,42,17,0,960,1,0,3.7
4513,초코크림크로와상앤젤리너스,345,24,17,0,890,18,0,6
4514,갈릭파이앤젤리너스,365,32,5,0,210,7,0,27
4515,밀크아이스크림앤젤리너스,289,26,5,0,35,19,0,13
4516,큐브 달콤 브레드앤젤리너스,728,97,14,0,630,32,0,18
4517,크로크마담앤젤리너스,389,41,18,0,770,0,0,15
4518,크로크무슈앤젤리너스,325,43,11,0,700,0,0,11
4519,메이플피칸앤젤리너스,454,41,5,0,195,16,0,11
4520,아이스크림 그린티앤젤리너스,132,28,5,0,65,0,0,11
4521,아이스크림 바닐라앤젤리너스,255,24,5,0,55,0,0,15
4522,아포가토 그린티앤젤리너스,257,25,5,0,60,0,0,15
4523,아포가토 바닐라앤젤리너스,215,20,5,0,220,0,0,13
4524,아이스크림와플앤젤리너스,906,142,11,0,530,0,0,33
4525,플레인와플앤젤리너스,676,126,9,0,550,0,0,15
4526,클래식 클럽 샌드위치앤젤리너스,540,58,21,0,1295,3,0,8
4527,어니언 베이글앤젤리너스,320,64,11,0,460,14,0,1.9
4528,플레인 베이글앤젤리너스,309,61,12,0,460,12,0,1.5
4529,오리지날 번앤젤리너스,240,37,4,0,190,4,0,2.1
4530,뉴욕 치즈 케이크앤젤리너스,306,25,7,0,270,24,0,15
4531,콜드브루 위드밀크드롭탑,125,0,7,4.1,105,0,0,0
4532,콜드브루 플레인드롭탑,15,0,1,0,0,0,0,0
4533,에스프레소드롭탑,5,0,0,0,0,0,0,0
4534,스페셜티 아메리카노드롭탑,15,0,1,0,0,0,0,0
4535,스페셜티 카페라떼드롭탑,170,0,9,4.4,110,0,0,0
4536,스페셜티 카푸치노드롭탑,180,0,10,5,115,0,0,0
4537,스페셜티 바닐라라떼드롭탑,270,0,9,6,90,0,0,0
4538,스페셜티 카라멜마끼아또드롭탑,325,0,8,5,115,0,0,0
4539,스페셜티 카페모카드롭탑,320,0,10,10,105,0,0,0
4540,아포카토드롭탑,75,0,2,1.1,30,0,0,0
