,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,식품명,지역 / 제조사,,1회제공량,단위,에너지(㎉),탄수화물(g),단백질(g),지방(g),나트륨(㎎),총당류(g),콜레스테롤(㎎),총 포화 지방산(g),총내용량(g),총내용량(mL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,카페인(㎎),,
25,맑은감자국,,맑은감자국,700.00 ,g,221.00 ,34.60 ,8.30 ,5.50 ,1712.29 ,5.20 ,5.46 ,0.20 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
26,매생이국,,매생이국,500.00 ,g,119.00 ,13.40 ,10.00 ,2.80 ,1420.30 ,0.40 ,6.62 ,0.60 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
27,무된장국,,무된장국,450.00 ,g,104.00 ,14.70 ,6.10 ,2.40 ,1741.46 ,5.90 ,0.00 ,0.30 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
28,미소된장국,,미소된장국,150.00 ,g,38.00 ,2.80 ,2.80 ,1.80 ,517.03 ,0.70 ,0.00 ,0.20 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
29,바지락조개국,,바지락조개국,550.00 ,g,157.00 ,10.10 ,22.00 ,3.10 ,1596.17 ,1.30 ,89.36 ,0.60 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
30,뼈다귀해장국,,뼈다귀해장국,1000.00 ,g,714.00 ,23.40 ,74.60 ,35.70 ,3088.21 ,5.70 ,321.72 ,14.30 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
31,선지해장국,,선지해장국,1000.00 ,g,312.00 ,16.70 ,49.30 ,5.40 ,3074.53 ,3.90 ,230.52 ,2.70 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
32,소고기무국,,소고기무국,400.00 ,g,123.00 ,7.80 ,14.20 ,4.00 ,1067.02 ,3.50 ,38.43 ,1.30 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
33,소고기미역국,,소고기미역국,650.00 ,g,151.00 ,7.70 ,18.10 ,5.30 ,1908.91 ,0.00 ,42.18 ,2.00 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
34,순대국,,순대국,800.00 ,g,540.30 ,17.26 ,43.52 ,33.02 ,1504.04 ,0.00 ,246.00 ,10.98 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
35,시래기된장국,,시래기된장국,450.00 ,g,99.00 ,11.00 ,6.70 ,3.10 ,1523.66 ,1.30 ,0.00 ,0.30 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
36,올갱이국,,올갱이국,600.00 ,g,144.26 ,13.00 ,13.70 ,4.20 ,2017.16 ,1.60 ,85.36 ,0.80 ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
